,100K,150K,200K,250K,300K,350K,400K,450K,500K,550K,600K,650K,700K,750K,800K,850K,900K,950K,1M,1.050M,1.1M,1.15M,1.2M
5000,0.04206999316885829,0.025011360380527425,0.01620038179398975,0.011460460851999976,0.010761341246108391,0.007763208190222859,0.006701657736138178,0.005418840148537496,0.004770335330894493,0.004453504440833089,0.0038989358391732787,0.004171579633031608,0.003689438914250165,0.003099370653640743,0.0029656951136119436,0.0035410964202726714,0.002868175731512046,0.002983105160304478,0.0024811813754113676,0.0022463986424324234,0.002638107856138494,0.0018705970475512146,0.002344203093259223
10000,0.041733786187924726,0.026213765043439197,0.017837856335178925,0.01259769487303436,0.011195972281080213,0.008591314526022964,0.0074805295428188034,0.0062994339563642865,0.005386924259658976,0.004747929374146143,0.0042309247601386435,0.004323298797915598,0.003976755911320351,0.0033537941423949502,0.003073682280479939,0.0034575671617223525,0.00298115892715084,0.0029628917857890125,0.0025748671488389774,0.002331605510947077,0.0026107422363143007,0.002061269782000996,0.0022768648309038353
15000,0.04369138314362642,0.025995350313041843,0.018196986058486297,0.01340570454942236,0.011482187366642027,0.009122275112289413,0.007889406795702492,0.006586883560015466,0.005658031871013991,0.005047040141712589,0.004509650511552277,0.004499692466458538,0.0041564721176623465,0.0035614689790372522,0.0032637385705564514,0.003580369172550779,0.003179974310958622,0.003107203645983936,0.0027265716460921907,0.002459412587613341,0.0026393970276868406,0.002178119386998967,0.0022787529003419627
20000,0.052894412462630575,0.026012029600153308,0.018190339432559377,0.013587548247151804,0.011771443954615657,0.009466242320236962,0.008161216038773289,0.006903553814501195,0.005894166587856797,0.005213722999912795,0.0046734390302412,0.004582536228659617,0.004258625523237192,0.0037185846164402014,0.003415818877212373,0.0036568351853605296,0.0032869077789020595,0.0031580795142541196,0.0028217522175495446,0.0025440698713122822,0.0027230317928385595,0.002322528228895948,0.0023559642401723146
